J,N,P,parameter,estimator,posterior_mean,posterior_sd,hdi_low,hdi_high,true_value,in_hdi,interval_width,r_hat,ess_bulk,ess_tail,abs_error,sq_error,relative_width
200,20000,10,beta_mexican,MLE,1.421650513485374,0.04969753490991828,1.3242433450619342,1.519057681908814,1.3,False,0.19481433684687977,,,,0.12165051348537403,0.014798847431255169,0.1498571821899075
200,20000,10,beta_lebanese,MLE,1.0200654065165529,0.05339482061585173,0.9154115581094835,1.1247192549236222,0.9,False,0.20930769681413874,,,,0.12006540651655284,0.014415701841985089,0.23256410757126528
200,20000,10,beta_log_dist,MLE,-0.5812867180269785,0.009828551207666814,-0.6005506783940054,-0.5620227576599516,-0.6,True,0.038527920734053867,,,,0.018713281973021467,0.0003501869222018102,0.06421320122342311
200,50000,10,beta_rating,MLE,0.7492887260354222,0.00864718175515217,0.732340249795324,0.7662372022755204,0.75,True,0.03389695248019642,,,,0.0007112739645778188,5.059106526862482e-07,0.04519593664026189
200,50000,10,beta_cost,MLE,-0.39853036055734287,0.0017392455411339405,-0.4019392818179654,-0.39512143929672033,-0.4,True,0.0068178425212450655,,,,0.0014696394426571557,2.1598400914136353e-06,0.017044606303112664
200,50000,10,beta_chinese,MLE,0.9144493334935193,0.03309447533304102,0.8495841618407589,0.9793145051462797,0.83,False,0.1297303433055208,,,,0.08444933349351935,0.007131689927499649,0.1563016184403865
200,50000,10,beta_japanese,MLE,1.3586293003499181,0.0314544727464728,1.2969785337668314,1.420280066933005,1.25,False,0.12330153316617354,,,,0.10862930034991813,0.011800324894512723,0.09864122653293883
200,50000,10,beta_korean,MLE,0.8721961669899625,0.03427366099693851,0.805019791435963,0.939372542543962,0.75,False,0.13435275110799894,,,,0.1221961669899625,0.014931903227038799,0.17913700147733191
200,50000,10,beta_indian,MLE,1.0865985498917992,0.033015075723221474,1.021889001474285,1.1513080983093134,1.0,False,0.1294190968350284,,,,0.08659854989179916,0.007499308843362428,0.1294190968350284
200,50000,10,beta_french,MLE,1.0268926037831696,0.03968826973030733,0.9491035951117672,1.104681612454572,0.95,True,0.15557801734280474,,,,0.07689260378316964,0.005912472516555515,0.16376633404505764
200,50000,10,beta_mexican,MLE,1.3972902914122707,0.03143291806150603,1.335681772011719,1.4588988108128225,1.3,False,0.12321703880110357,,,,0.09729029141227064,0.009465400803084542,0.09478233753931044
200,50000,10,beta_lebanese,MLE,1.014745356108145,0.033744676623708565,0.9486057899256762,1.0808849222906138,0.9,False,0.1322791323649376,,,,0.11474535610814496,0.013166496748385,0.14697681373881955
200,50000,10,beta_log_dist,MLE,-0.5993544539618402,0.006198962773160566,-0.6115044209972349,-0.5872044869264454,-0.6,True,0.024299934070789453,,,,0.0006455460381598055,4.1672968738382104e-07,0.040499890117982426
500,10000,10,beta_rating,MLE,0.730112734073201,0.01720914814046272,0.6963828037178941,0.7638426644285079,0.75,True,0.06745986071061383,,,,0.019887265926799014,0.00039550334604322105,0.0899464809474851
500,10000,10,beta_cost,MLE,-0.40287395047281604,0.003613419902985609,-0.40995625348266784,-0.39579164746296425,-0.4,True,0.014164606019703596,,,,0.0028739504728160226,8.25959132019944e-06,0.03541151504925899
500,10000,10,beta_chinese,MLE,0.8061354532721916,0.0626853433805476,0.6832721802463183,0.9289987262980649,0.83,True,0.2457265460517466,,,,0.023864546727808356,0.0005695165905237484,0.2960560795804176
